"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.25Wresistor","DIP","","","","","","R5 R8 R9 R7 R6","5"
"0.125Wresistor","DIL","","","","","","R3 R2 R1","3"
"Capacitor","C","0.1 uF","","","","","C3 C4 C5","3"
"Ceramic","C","","","","","","C13 C14 C7 C8 C6 C9 C10 C11 C15 C16 C17","11"
"Header5","SIP","","","","","","J1","1"
"KSC353JLFG","SM","","","","","","SW1","1"
"LEDT1.75","SIP","","","","","","D1","1"
"LM4041","MISC","","","","","","U7","1"
"LogicAnalyzer","DIP","","","","","","J3","1"
"LP2950CZ-3.3","TO220","","","","","","U2","1"
"OffBoardPowerSwitch","DIP","","","","","","SW2","1"
"Speaker","DIP","","","","","","J2","1"
"ST7735","LCD","","","","","","J4","1"
"tantalum","C","","","","","","C2 C1 C12","3"
"Testpoint_TwoHole","DIL","","","","","","Gnd Gnd3 TP2 TP1","4"
"TLV5616","DIP","","","","","","U5","1"
"TM4C123GH6PM","LQFP","","","","","","U4","1"
"TPA731","SM","","","","","","U6","1"
"USB_Micro-B_SM","SM","","","","","","J5","1"
"VL53L0X","LGA12_ST","VL53L0X","","","","","U1","1"
"XTAL","NX5032","","","","","","Y1","1"
"","","","","","","","","44"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
